0.2489,-0.001
0.2495,-0.001
0.2501,-0.001
0.2507,-0.001
0.2513,-0.001
0.2519,-0.0009
0.2525,-0.0009
0.2531,-0.0009
0.2537,-0.0009
0.2543,-0.0009
0.2549,-0.0009
0.2555,-0.0008
0.2561,-0.0008
0.2566,-0.0008
0.2572,-0.0007
0.2578,-0.0007
0.2584,-0.0007
0.259,-0.0006
0.2596,-0.0006
0.2602,-0.0006
0.2608,-0.0005
0.2614,-0.0005
0.262,-0.0004
0.2625,-0.0004
0.2631,-0.0003
0.2637,-0.0003
0.2643,-0.0002
0.2649,-0.0002
0.2655,-0.0001
0.2661,-0.0001
0.2666,-0.0
0.2672,0.0001
0.2678,0.0001
0.2685,0.0002
0.2691,0.0003
0.2697,0.0003
0.2704,0.0004
0.2711,0.0005
0.2718,0.0006
0.2725,0.0007
0.2732,0.0008
0.274,0.0009
0.2748,0.001
0.2755,0.0011
0.2763,0.0012
0.277,0.0013
0.2778,0.0014
0.2785,0.0015
0.2793,0.0016
0.2801,0.0018
0.2811,0.0019
0.282,0.0021
0.283,0.0022
0.284,0.0024
0.285,0.0025
0.2861,0.0027
0.2871,0.0028
0.2879,0.0029
0.2886,0.0031
0.2894,0.0032
0.29,0.0033
0.2906,0.0034
0.2912,0.0035
0.2919,0.0036
0.2926,0.0037
0.2933,0.0038
0.294,0.004
0.2948,0.0041
0.2955,0.0042
0.2962,0.0043
0.297,0.0045
0.2977,0.0046
0.2985,0.0048
0.2992,0.0049
0.3,0.005
0.3007,0.0052
0.3015,0.0054
0.3023,0.0055
0.303,0.0056
0.3037,0.0058
0.3045,0.0059
0.3052,0.0061
0.306,0.0063
0.3068,0.0064
0.3076,0.0066
0.3083,0.0067
0.3091,0.0069
0.3098,0.007
0.3105,0.0072
0.3112,0.0073
0.3119,0.0075
0.3126,0.0076
0.3133,0.0078
0.3139,0.0079
0.3146,0.008
0.3152,0.0082
0.3158,0.0083
0.3166,0.0085
0.3173,0.0086
0.318,0.0088
0.3189,0.009
0.3198,0.0092
0.3207,0.0094
0.3215,0.0096
0.3226,0.0098
0.3236,0.01
0.3246,0.0103
0.3256,0.0105
0.3267,0.0107
0.3279,0.011
0.3291,0.0113
0.3304,0.0116
0.3317,0.0119
0.333,0.0122
0.3343,0.0125
0.3355,0.0127
0.3367,0.013
0.3379,0.0133
0.3391,0.0135
0.34,0.0137
0.341,0.014
0.3421,0.0142
0.3432,0.0145
0.3443,0.0147
0.3454,0.0149
0.3464,0.0152
0.3474,0.0154
0.3484,0.0156
0.3494,0.0159
0.3505,0.0161
0.3515,0.0163
0.3524,0.0165
0.3534,0.0167
0.3544,0.017
0.3554,0.0172
0.3564,0.0174
0.3574,0.0176
0.3584,0.0179
0.3594,0.0181
0.3604,0.0183
0.3614,0.0185
0.3624,0.0188
0.3634,0.019
0.3645,0.0192
0.3655,0.0195
0.3665,0.0197
0.3675,0.0199
0.3685,0.0201
0.3695,0.0204
0.3705,0.0206
0.3715,0.0208
0.3726,0.021
0.3736,0.0213
0.3747,0.0215
0.3757,0.0218
0.3767,0.022
0.3778,0.0222
0.3788,0.0225
